gene	chromosome	start	end	CNV_value
ANGPTL3	chr1	62597520	62606313	0.0021664898695518847
ANGPTL4	chr19	8363289	8374370	0.002685610915600622
ANGPTL6	chr19	10092338	10102796	0.010294009387855
ANGPTL7	chr1	11189355	11195981	0.0011102918490641844
ANGPTL8	chr19	11237450	11241943	0.02890830333847734
ANK1	chr8	41653220	41896762	0.00018892072028431134
ANKHD1	chr5	140401814	140539856	0.00034501102998870276
ANKK1	chr11	113387779	113400416	-0.00712746846657141
ANKRD11	chr16	89267630	89490561	0.003182299448751606
ANKRD13A	chr12	109999186	110039763	2.481329132138371e-06
ANKRD13D	chr11	67289300	67302485	0.009529436209786047
ANKRD17	chr4	73073376	73258798	-0.08953452306266499
ANKRD30A	chr10	37125725	37384111	-0.001017365306644463
ANKRD40	chr17	50693198	50707914	0.06138244893997961
ANKRD44	chr2	196967017	197311173	0.000960426168522652
ANKRD6	chr6	89433152	89633834	0.013013075087082358
ANKS1A	chr6	34889255	35091406	7.505368373103886e-05
ANKS1B	chr12	98726457	99984654	2.6482969706054517e-05
ANKS6	chr9	98731329	98796965	-0.00010822378975490355
ANKZF1	chr2	219229783	219236679	0.05646305699567348
ANO1	chr11	70078302	70189528	0.0029738692413235233
ANO3	chr11	26188842	26663289	0.0004973024510201649
ANP32E	chr1	150218417	150236156	0.0015460100015327032
ANPEP	chr15	89784895	89815401	-0.0022121996890148905
ANXA10	chr4	168092537	168187736	-0.0004724715012503752
ANXA2	chr15	60347134	60402883	0.0015568326008209817
ANXA3	chr4	78551747	78610451	-0.0881517336029445
ANXA5	chr4	121667946	121696995	-0.02999896749594418
ANXA8	chr10	47460162	47484158	-0.00035699643743521413
AOAH	chr7	36512941	36724549	-7.848620646750028e-05
AOC3	chr17	42851184	42858130	0.04205552195059332
AOX1	chr2	200586014	200677064	0.003669322906443456
AP1B1	chr22	29327680	29423179	0.00019704791692216856
AP1M1	chr19	16197578	16245907	0.008840247738418376
AP1S3	chr2	223751686	223838027	0.05646305699567348
AP2A1	chr19	49766968	49807113	0.00023390334743419146
AP2A2	chr11	924894	1012245	0.0028128049948089157
AP2M1	chr3	184174689	184184091	0.0006244303440802904
AP3B2	chr15	82659281	82709946	-0.000611215282787413
AP3D1	chr19	2100988	2164468	0.0006555979932898493
AP3M2	chr8	42152946	42171673	0.00018892072028431134
AP5B1	chr11	65773898	65780976	0.011935176169608616
APAF1	chr12	98645141	98735433	2.6482969706054517e-05
APC	chr5	112707498	112846239	0.0011284047209025895
APCDD1	chr18	10454635	10489949	-0.03381473962030213
APELA	chr4	164877178	164898965	-0.0004724715012503752
APEX1	chr14	20455191	20457772	-0.007222248875806015
APEX2	chrX	55000363	55009057	
APH1B	chr15	63276018	63309126	0.0015568326008209817
API5	chr11	43311963	43344529	0.000497399835179321
APLF	chr2	68467572	68655862	9.615995443661535e-05
APLN	chrX	129645259	129654956	
APLNR	chr11	57233577	57237314	0.0005550965363730477
APMAP	chr20	24962925	24992751	-0.0003080128710065813
APOB	chr2	21001429	21044073	0.000914035748314104
APOBEC3B	chr22	38982347	38992804	-0.0017559965505127546
APOBEC3C	chr22	39014257	39020352	-0.0017559965505127546
APOBEC3D	chr22	39021113	39033277	-0.0017559965505127546
APOBEC3F	chr22	39040604	39055972	-0.0017559965505127546
APOBEC3G	chr22	39077067	39087743	-0.0017559965505127546
APOC1	chr19	44914247	44919349	5.298845638138706e-05
APOL1	chr22	36253010	36267530	-0.0001650329339043002
APOL2	chr22	36226209	36239954	-0.0001650329339043002
APOL3	chr22	36140330	36166177	-0.0001650329339043002
APOL6	chr22	35648446	35668404	-0.0001650329339043002
APOM	chr6	31652416	31658210	3.978565542470945e-06
APP	chr21	25880550	26171128	-0.0004919134136229591
APPBP2	chr17	60443158	60526242	0.0026461510323501957
APTX	chr9	32886601	33025130	-0.08977454922074052
AQP4	chr18	26852043	26865771	-0.03381473962030213
AQP5	chr12	49961872	49965682	-0.00017525960290996431
AQP7	chr9	33383179	33402682	-0.08977454922074052
AQP8	chr16	25215731	25228932	0.000703216421654597
AQP9	chr15	58138169	58185911	0.003778471682409656
AR	chrX	67544021	67730619	
ARC	chr8	142611049	142614479	0.006421408472578152
ARF1	chr1	228082660	228099212	0.07395991750218409
ARF6	chr14	49893082	49897054	-0.005458685290380866
ARFIP1	chr4	152779937	152918463	-0.002289617241669375
ARG1	chr6	131470832	131584332	0.03271188110894906
ARG2	chr14	67619920	67651708	-0.05764698793466415
ARHGAP26	chr5	142770377	143229011	-7.430581050845983e-05
ARHGAP35	chr19	46860997	47005077	0.0004753199774616822
ARHGAP36	chrX	131058346	131089885	
ARHGEF2	chr1	155946851	156007070	7.442554915724541e-05
ARHGEF7	chr13	111114559	111305737	-0.0045872845668024
ARID1A	chr1	26693236	26782104	0.000777844687109851
ARID3B	chr15	74541177	74598131	7.468911372748236e-05
ARIH1	chr15	72474330	72602987	0.0003296311294962174
ARL4D	chr17	43398993	43401137	0.04205552195059332
ARL8B	chr3	5122245	5180912	-0.15802454912626523
ARMC5	chr16	31458080	31467166	0.0011365189923910432
ARMC7	chr17	75109952	75130272	0.0015271212748442238
ARMH3	chr10	101845599	102056193	-0.0006966712971070071
ARNT	chr1	150809713	150876708	0.0015460100015327032
ARNTL	chr11	13276652	13387266	0.0003643558844173163
ARR3	chrX	70268305	70281840	
ARRB1	chr11	75260122	75351705	9.71009611571417e-05
ARRB2	chr17	4710596	4721499	-0.09339503926227377
ARRDC3	chr5	91368631	91383317	0.0007951827129060911
ART1	chr11	3645128	3664416	0.0011608171382036139
ART3	chr4	76011184	76112802	-0.0881517336029445
ART4	chr12	14825569	14843526	-0.04334391504790958
ARX	chrX	25003694	25016420	
ASCC2	chr22	29788609	29838304	-0.00016659799599544025
ASCC3	chr6	100508194	100881372	0.019877851625399096
ASCL1	chr12	102957674	102960513	2.4294260196879936e-05
ASCL2	chr11	2268495	2270952	0.0028128049948089157
ASF1B	chr19	14119512	14136613	0.022033621157534114
ASH2L	chr8	38105493	38144076	0.00021480867466759364
ASIC1	chr12	50057548	50083611	-0.00017525960290996431
ASPM	chr1	197084127	197146694	-6.551313756498472e-05
ASPN	chr9	92456205	92482506	-0.002214471468870328
ASTN2	chr9	116425225	117415070	0.012185361668547109
ASXL1	chr20	32358330	32439319	-0.0003080128710065813
ATAD3A	chr1	1512162	1534685	0.005415208816122133
ATF1	chr12	50763710	50821162	-7.851452747788239e-05
ATF2	chr2	175072250	175168382	0.00010865467318467648
ATF3	chr1	212565334	212620777	0.012707105603331733
ATF4	chr22	39519695	39522685	-0.0033673850824723446
ATF6	chr1	161766320	161964070	-0.023969194630851873
ATG10	chr5	81972023	82276857	0.0003868854199734932
ATG16L1	chr2	233210051	233295674	0.03235524370282734
ATG2A	chr11	64894546	64917211	0.007507225461540621
ATG5	chr6	106045423	106325791	0.019877851625399096
ATG7	chr3	11272309	11557665	-0.14557824934984856
ATIC	chr2	215311956	215349773	0.03647947861261257
ATL1	chr14	50532509	50633068	-0.00889636089853597
ATL2	chr2	38293954	38377285	0.000544388298365933
ATL3	chr11	63624087	63671921	0.0017269024335820778
ATM	chr11	108222484	108369102	-0.01061669625336271
ATOH1	chr4	93828753	93830966	-0.08924705924435848
ATOH7	chr10	68230595	68232113	6.351525282950847e-05
ATOH8	chr2	85751344	85791383	7.575779268146809e-05
ATP10D	chr4	47485275	47593486	-0.10639008306385227
ATP13A2	chr1	16985958	17011928	0.0005035449590357965
ATP1A1	chr1	116372668	116410261	0.0002546202242965676
ATP2A2	chr12	110280756	110351093	2.481329132138371e-06
ATP2B1	chr12	89588049	89709300	2.240002122937098e-05
ATP5F1A	chr18	46080248	46104334	-0.03381473962030213
ATP5F1C	chr10	7788147	7807815	-0.012873963989598081
ATP6V1B1	chr2	70935900	70965431	9.615995443661535e-05
ATP6V1H	chr8	53715543	53843558	5.9424233657386705e-05
ATP7A	chrX	77910656	78050395	
ATP7B	chr13	51930436	52012125	-0.011062722026995882
ATPAF1	chr1	46632737	46673867	0.03124479520221401
ATPSCKMT	chr5	10225507	10249897	0.005386741082788252
ATR	chr3	142449007	142578733	3.1363944314348633e-06
ATRX	chrX	77504878	77786233	
ATXN1	chr6	16299112	16761491	0.00013478833979989235
ATXN1L	chr16	71845976	71885268	0.023749211551335886
ATXN2	chr12	111443485	111599676	2.481329132138371e-06
ATXN2L	chr16	28823035	28837237	0.0007237163116299317
ATXN3	chr14	92044496	92106621	-0.08132505423898645
ATXN7L2	chr1	109483479	109492804	0.0006559449915593991
AUNIP	chr1	25831913	25859458	0.0003731099274232452
AURKA	chr20	56369389	56392337	-0.00024289513238184648
AURKB	chr17	8204733	8210600	-0.011612086230343648
AURKC	chr19	57230802	57235548	
AVPR1A	chr12	63142759	63150942	0.0001584562263202007
AVPR1B	chr1	206106936	206117699	0.00021408951442403176
AVPR2	chrX	153902531	153907166	
AXIN1	chr16	287440	352723	0.013170713413434622
AXIN2	chr17	65528563	65561648	0.0005195564121448308
AXL	chr19	41219223	41261766	4.6450438081048194e-05
B3GAT1	chr11	134378504	134412242	
B4GAT1	chr11	66345374	66347629	0.011935176169608616
BAALC	chr8	103140713	103230305	0.0010538214892235856
BAAT	chr9	101360417	101383519	0.0002732261691292298
BACE1	chr11	117285207	117316259	-0.007050972372759938
BACE2	chr21	41167801	41282530	-0.0004919134136229591
BACH2	chr6	89926528	90296908	0.013013075087082358
BAD	chr11	64269830	64284704	0.003685000769892627
BAG2	chr6	57172326	57189833	0.009991160828451709
BAG3	chr10	119651370	119677819	-0.01633029471607391
BAG6	chr6	31639028	31652705	3.978565542470945e-06
BAIAP2	chr17	81035122	81117432	0.009892477408176966
BAK1	chr6	33572547	33580293	7.505368373103886e-05
BANK1	chr4	101411286	102074812	-0.08924705924435848
BAP1	chr3	52401008	52410008	-0.03990214767310227
BARD1	chr2	214725646	214809683	0.03647947861261257
BARHL2	chr1	90711539	90717302	0.00046837332385327163
BARX2	chr11	129375848	129452279	-0.0010996818445793187
BATF	chr14	75522455	75546993	-0.08500630126655599
BATF3	chr1	212686417	212699840	0.012707105603331733
BAX	chr19	48954815	48961798	0.0005090292648720886
BAZ2B	chr2	159318979	159616569	1.0182691168045107e-06
BBC3	chr19	47220822	47232766	0.0004753199774616822
BCAM	chr19	44809071	44821421	5.298845638138706e-05
BCAN	chr1	156641390	156659532	7.442554915724541e-05
BCAR1	chr16	75228181	75268053	0.028847593346476106
BCAR3	chr1	93561741	93847150	0.00046837332385327163
BCAR4	chr16	11819829	11828845	0.0013526902526049963
BCAS3	chr17	60677453	61392838	0.0026461510323501957
BCCIP	chr10	125823546	125853695	-0.08460334718759766
BCHE	chr3	165772904	165837462	0.00022161827416828826
BCKDK	chr16	31106107	31112791	0.0007675638341198598
BCL10	chr1	85265776	85276632	0.00042704823914014586
BCL11A	chr2	60450520	60554467	0.00013370561209632298
BCL11B	chr14	99169287	99272197	-0.06720953592301034
BCL2	chr18	63123346	63320128	-0.03381473962030213
BCL2A1	chr15	79960892	79971196	-9.404975875612471e-05
BCL2L1	chr20	31664452	31723989	-0.0003080128710065813
BCL2L11	chr2	111119378	111168445	-0.00020503510995936638
BCL2L12	chr19	49665142	49673916	0.00023390334743419146
BCL2L13	chr22	17628855	17730855	0.013127863213813222
BCL2L2	chr14	23298790	23311759	-0.0044984535589549495
BCL3	chr19	44747705	44760044	5.298845638138706e-05
BCL6	chr3	187721377	187745725	0.000763830438812138
BCL6B	chr17	7023050	7030290	-0.09502533670864402
BCL7B	chr7	73536356	73557690	0.0013359829688630546
BCL7C	chr16	30833626	30894960	0.0007675638341198598
BCOR	chrX	40049815	40177329	
BCORL1	chrX	129981107	130058083	
BCR	chr22	23179704	23318037	0.005238773645112168
BDKRB1	chr14	96256210	96268967	-0.06720953592301034
BDKRB2	chr14	96204679	96244166	-0.06720953592301034
BDNF	chr11	27654893	27722058	0.0004973024510201649
BEAN1	chr16	66427295	66493529	0.01030756366400854
BECN1	chr17	42810134	42833350	0.04205552195059332
BEX2	chrX	103309346	103311046	
BFSP1	chr20	17493905	17569220	-0.0004207955747306463
BFSP2	chr3	133400056	133475222	-4.961949320535454e-05
BHMT	chr5	79111809	79132288	0.0003868854199734932
BICRAL	chr6	42746958	42868560	0.0019089376526115127
BID	chr22	17734138	17774770	0.013127863213813222
BIK	chr22	43110750	43129712	-0.0018171933487532788
BIRC2	chr11	102347211	102378670	-0.007125414384012746
BIRC5	chr17	78214186	78225636	0.005546386178568871
BIRC7	chr20	63235883	63240495	-2.9782016404695846e-05
BLK	chr8	11486894	11564599	-0.00038707180952460594
BLM	chr15	90717346	90816166	-0.0022121996890148905
BLNK	chr10	96191702	96271587	-0.00013691491743080773
BLOC1S2	chr10	100273280	100286680	-0.00031275390490111805
BLVRA	chr7	43758680	43807342	6.874616514815643e-05
BMI1	chr10	22321099	22331484	-0.004173867097552244
BMP2	chr20	6767686	6780246	-0.0005827689728791822
BMP2K	chr4	78776342	78916372	-0.0881517336029445
BMP4	chr14	53949736	53958761	-0.017738258942879087
BMP5	chr6	55753653	55875590	0.007837123110607812
BMP6	chr6	7726099	7881728	-0.00014473675024242463
BMP7	chr20	57168753	57266641	-0.00024289513238184648
BMP8A	chr1	39491636	39529869	0.04020297401217017
BMP8B	chr1	39757182	39788865	0.04020297401217017
BMPER	chr7	33904308	34156427	-7.848620646750028e-05
BMPR1A	chr10	86756601	86932838	-1.3390626304210829e-05
BMPR1B	chr4	94757955	95158448	-0.08924705924435848
BMPR2	chr2	202376327	202567751	0.016602107157850505
BNC1	chr15	83255903	83284714	-0.000611215282787413
BNC2	chr9	16409503	16870843	-0.11639345456569233
BNIP3	chr10	131966455	131982013	-0.08460334718759766
BOLL	chr2	197726879	197786762	0.003669322906443456
BRAF	chr7	140719327	140924928	2.7583275680340674e-05
BRCA1	chr17	43044295	43170245	0.04205552195059332
BRCA2	chr13	32315086	32400266	-0.028512742914652448
BRD3	chr9	134030305	134068535	0.1262471458481143
BRD4	chr19	15235519	15332545	0.008840247738418376
BRDT	chr1	91949371	92014426	0.00046837332385327163
BRI3BP	chr12	124993645	125031231	0.0013663983693762275
BRINP1	chr9	119153458	119369435	0.012185361668547109
BRIP1	chr17	61679139	61863528	0.0026461510323501957
BRIX1	chr5	34915677	34925996	0.002921602584131437
BRSK2	chr11	1389899	1462689	0.0028128049948089157
BSDC1	chr1	32365103	32394731	0.007090505912763734
BST1	chr4	15703065	15738313	-0.12133224495448075
BTAF1	chr10	91923770	92030325	-8.53649829551621e-05
BTBD9	chr6	38168451	38640148	0.00018092631164101414
BTK	chrX	101349447	101390796	
BTLA	chr3	112463966	112499472	-0.0004695229025423783
BTN3A1	chr6	26402237	26415208	0.00019662951581001786
BTNL2	chr6	32393963	32407128	5.351353544756713e-05
BTNL9	chr5	181040225	181061521	-0.00156094931121706
BTRC	chr10	101354033	101557321	-0.0006966712971070071
BUB1	chr2	110637528	110678063	-0.00020503510995936638
BUB1B	chr15	40161023	40221136	0.0026748072224950254
BVES	chr6	105096822	105137157	0.019877851625399096
C1QBP	chr17	5432777	5448830	-0.09502533670864402
C1QL3	chr10	16513734	16521879	-0.012873963989598081
C1QTNF1	chr17	79022814	79049788	0.005546386178568871
C1QTNF6	chr22	37180166	37199385	-0.00046724729277857445
C1QTNF9	chr13	24307166	24322535	-0.0350962107475691
C1RL	chr12	7089587	7109238	-0.06950850039127196
C3AR1	chr12	8056844	8066359	-0.06245676698558549
C4A	chr6	31982057	32002681	5.351353544756713e-05
C4B	chr6	32014795	32035418	5.351353544756713e-05
C5	chr9	120952335	121050275	0.012185361668547109
C5AR1	chr19	47290023	47322066	0.0004753199774616822
C6	chr5	41142234	41261438	0.001815849488023424
C8B	chr1	56929207	56966140	0.011277118241627561
C8G	chr9	136945185	136946975	0.14757171828843765
C9	chr5	39284140	39424868	0.001815849488023424
CA10	chr17	51630313	52160017	0.06138244893997961
CA12	chr15	63321378	63381846	0.0015568326008209817
CA14	chr1	150257251	150265078	0.0015460100015327032
CA4	chr17	60149942	60170899	0.0026461510323501957
CA9	chr9	35673918	35681159	-0.0661003098837146
CABCOCO1	chr10	61662961	61766766	6.351525282950847e-05
CABP4	chr11	67452406	67460313	0.009529436209786047
CABYR	chr18	24138956	24161603	-0.03381473962030213
CACNA1B	chr9	137877782	138124624	
CACNA1C	chr12	1970786	2697950	-0.029111438765546456
CACNA1D	chr3	53328963	53813733	-0.03990214767310227
CACNA1G	chr17	50560715	50627474	0.06138244893997961
CACNA1H	chr16	1153106	1221771	0.013170713413434622
CACNA2D1	chr7	81946444	82443777	0.020501558681540456
CACNG3	chr16	24255553	24362801	0.000703216421654597
CACNG4	chr17	66964707	67033398	0.0005195564121448308
CACNG5	chr17	66835117	66894751	0.0005195564121448308
CACUL1	chr10	118674167	118755249	-0.01633029471607391
CACYBP	chr1	174999163	175012027	-0.0023899609050197826
CAD	chr2	27217369	27243943	0.0006508387604871469
CADM3	chr1	159171609	159203313	-0.0046171018609826465
CADM4	chr19	43622368	43639850	5.298845638138706e-05
CALB1	chr8	90058608	90095475	0.000569577304024539
CALB2	chr16	71358713	71390436	0.023749211551335886
